brand,model_year,bike_age,price,price_segment,power_bhp,owner_num,annual_depreciation,price_retention_ratio
hero,2010,15,16666.0,Budget (<50k),8.2,2,0.10676807265033728,0.52
hero,2011,14,19900.0,Budget (<50k),8.2,1,0.10264717695646297,0.6209048361934477
hero,2010,15,17000.0,Budget (<50k),8.2,1,0.10558568617171771,0.5304212168486739
hero,2012,13,27000.0,Budget (<50k),8.2,1,0.08895852114222191,0.8424336973478939
hero,2011,14,22000.0,Budget (<50k),8.2,1,0.09619373378911766,0.6864274570982839
hero,2012,13,20000.0,Budget (<50k),8.2,1,0.1097489881913769,0.62402496099844
hero,2014,11,24000.0,Budget (<50k),8.2,1,0.1138010702444584,0.748829953198128
hero,2017,8,37000.0,Budget (<50k),8.2,1,0.10596557967669551,1.1544461778471138
hero,2014,11,37830.0,Budget (<50k),8.2,1,0.07637189543500622,1.1803432137285492
hero,2011,14,23000.0,Budget (<50k),8.2,1,0.09331947445366406,0.717628705148206
hero,2017,8,38708.0,Budget (<50k),8.2,1,0.10090803704717466,1.2077379095163807
hero,2017,8,39000.0,Budget (<50k),8.2,1,0.10006301644721338,1.216848673946958
hero,2014,11,30000.0,Budget (<50k),8.2,1,0.09564025568921186,0.9360374414976599
hero,2012,13,28000.0,Budget (<50k),8.2,1,0.0864063042385449,0.8736349453978159
hero,2010,15,18000.0,Budget (<50k),8.2,1,0.10217096406738602,0.5616224648985959
hero,2014,11,32000.0,Budget (<50k),8.2,1,0.09031865599467015,0.9984399375975039
triumph,2015,10,1025000.0,Luxury (>200k),93.0,1,-0.2744875744542623,1.28125
ducati,2017,8,1200000.0,Luxury (>200k),159.7,1,-0.3811049432698068,1.120971508640822
suzuki,2010,15,375000.0,Luxury (>200k),160.0,4,-0.0992865068883404,0.46296296296296297
moto-guzzi,2020,5,1866057.0,Luxury (>200k),94.68,1,-0.8310972879729932,1.0
aprilia,2014,11,1100000.0,Luxury (>200k),181.44,1,-0.25472258703517636,1.1
triumph,2018,7,1450000.0,Luxury (>200k),93.0,1,-0.4859357370151798,1.8125
suzuki,2011,14,810000.0,Luxury (>200k),160.0,1,-0.16932960054999624,1.0
triumph,2015,10,1400000.0,Luxury (>200k),93.0,1,-0.3148494308776686,1.75
suzuki,2018,7,1000000.0,Luxury (>200k),160.0,1,-0.4091183028682053,1.2345679012345678
suzuki,2014,11,925000.0,Luxury (>200k),127.0,1,-0.23511307834456252,1.1419753086419753
suzuki,2013,12,825000.0,Luxury (>200k),127.0,1,-0.2020536320101931,1.0185185185185186
kawasaki,2019,6,760000.0,Luxury (>200k),139.0,1,-0.425304415777807,1.6278447121820616
kawasaki,2020,5,1089375.0,Luxury (>200k),140.0,1,-0.644227543998654,2.3333333333333335
kawasaki,2019,6,945000.0,Luxury (>200k),140.0,1,-0.4780098669483057,2.0240963855421685
kawasaki,2015,10,925000.0,Luxury (>200k),139.0,2,-0.2614713528362229,1.9812583668005355
harley-davidson,2013,12,340000.0,Luxury (>200k),50.0,2,-0.11645852026782277,0.7906976744186046
triumph,2016,9,1050000.0,Luxury (>200k),96.0,1,-0.3128115466820951,1.3125
kawasaki,2014,11,1000000.0,Luxury (>200k),139.0,1,-0.24389792881885297,2.14190093708166
yamaha,2019,6,900000.0,Luxury (>200k),197.0,1,-0.4660398770462748,3.4698795180722892
mv,2018,7,1500000.0,Luxury (>200k),145.9,1,-0.49314969568200073,1.2244897959183674
kawasaki,2016,9,900000.0,Luxury (>200k),140.0,1,-0.2905173737649476,1.927710843373494
kawasaki,2018,7,825000.0,Luxury (>200k),140.0,2,-0.3709206106407279,1.7670682730923695
kawasaki,2016,9,1078000.0,Luxury (>200k),139.0,1,-0.31665601664129417,2.3089692101740296
mv,2015,10,950000.0,Luxury (>200k),145.9,1,-0.2648399655620468,0.7755102040816326
